,vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
1151,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[70, 8]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1779,0,11,2488,0.1278898912202287,5.793220160436157,6.457373167213756,1.486172234607682,0.9441340782122905,215,0.9855859049338016,680200.0
1426,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[80, 8]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1779,0,11,2488,0.0774847250151044,5.197441408920049,6.5877803456177775,1.486172234607682,0.9603351955307262,214,0.9898126023451286,686400.0
1430,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[80, 8]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1779,0,11,2488,0.0391231641945983,4.212746230991016,6.4735958381438685,1.486172234607682,0.9782122905027932,215,0.9944161415510172,717200.0
1498,"['B1, E1, G2, K3', 'C3, P1, G1, M3, A3']","[80, 8]","[3700.0, 56650]","[13.766519823788546, 248.015873015873]","[12.620192307692307, 40]",1790,1789,0,1,2542,0.0408064260142827,4.212746230991016,6.4609330798910065,1.48643715234881,0.98268156424581,221,0.9955275685704024,749200.0
1427,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[80, 10]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1779,0,11,2488,0.0124516757671313,3.0683815516352553,6.575099896821869,1.486172234607682,0.9899441340782122,217,0.9974424526543682,784000.0
1431,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[80, 10]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1779,0,11,2488,0.0074307593585303,2.4430837633413205,6.454637616662181,1.486172234607682,0.9910614525139664,218,0.9977393554707368,822500.0
1499,"['B1, E1, G2, K3', 'C3, P1, G1, M3, A3']","[80, 10]","[3700.0, 56650]","[13.766519823788546, 248.015873015873]","[12.620192307692307, 40]",1790,1789,0,1,2542,0.0068351404383397,2.4430837633413205,6.443053270272038,1.48643715234881,0.9966480446927374,224,0.9991380881816502,862500.0
1497,"['B1, E1, G2, K3', 'C3, P1, G1, M2, A3']","[80, 12]","[3700.0, 52800]","[13.766519823788546, 251.76233635448136]","[12.620192307692307, 30.15941404566997]",1790,1789,0,1,2542,0.0069356754340927,2.478595297160666,6.674425524592709,1.48643715234881,0.9972067039106144,220,0.9992774011136344,929600.0
1229,"['B1, E1, G2, K3', 'C3, P1, G1, M3, A3']","[70, 12]","[3700.0, 56650]","[13.766519823788546, 248.015873015873]","[12.620192307692307, 40]",1790,1789,0,1,2542,0.0055396449192776,2.2388970775529415,6.361410391836715,1.48643715234881,0.9972067039106144,224,0.999282287220436,938800.0
3391,"['B3, E1, G2, K3', 'C3, P1, G1, M3, A3']","[100, 8]","[5200.0, 56650]","[9.742790335151987, 248.015873015873]","[7.085020242914981, 40]",1790,1789,0,1,2542,0.00427741609009,3.3837176526698443,11.402313019945009,1.48643715234881,0.9988826815642458,202,0.9997056994347462,973200.0
1500,"['B1, E1, G2, K3', 'C3, P1, G1, M3, A3']","[80, 12]","[3700.0, 56650]","[13.766519823788546, 248.015873015873]","[12.620192307692307, 40]",1790,1789,0,1,2542,0.0011277712735174,0.8326504275675006,6.420807771055436,1.48643715234881,0.9994413407821228,224,0.9998563879960736,975800.0
